7 2 3

0 10 1
5 7 4
2 8 1
4 8 5
7 12 4
8 8 4
10 13 3
9 14 3
7 11 2
3 14 5
4 7 3
10 14 4
5 12 3
4 10 3
6 8 4
4 5 4
9 14 2
8 7 2
7 11 2
8 13 3
6 5 5
3 11 2
3 13 5
3 9 4
7 12 4
1 10 4
8 14 4
7 15 2
10 10 4
7 6 4
8 10 5
5 13 5
8 13 2
7 13 3
9 9 1
2 9 5
5 12 4
9 14 1
2 10 1
4 14 5
10 10 2
7 7 2
0 7 1
0 11 1
4 13 2
7 12 1
6 10 2
1 9 2
8 8 3
3 8 1
0 12 5
2 11 4
1 12 2
8 11 1
4 10 2
4 8 5
4 11 4
3 15 5
8 9 5
9 9 2
10 10 5
8 5 1
2 8 3
3 10 4
8 14 2
2 7 5
10 13 5
10 6 3
0 6 5
6 8 3
0 15 2
4 14 5
0 11 3
8 5 2
6 13 3
