8 1 4

0 9 2
10 11 4
9 12 3
3 6 5
2 8 2
0 8 1
9 11 2
0 12 5
10 8 3
4 5 2
3 7 5
9 14 4
7 13 1
8 9 1
7 13 5
8 14 3
5 9 5
8 9 4
2 5 2
7 11 3
6 15 2
7 15 2
5 13 1
5 13 3
8 11 2
4 10 5
8 10 4
2 13 3
10 8 2
2 7 3
6 13 2
4 5 1
10 9 1
10 8 4
5 6 1
9 11 4
2 14 4
7 11 1
2 5 4
4 5 4
10 11 3
7 15 1
8 14 3
1 7 1
8 5 3
8 13 3
8 11 3
0 7 5
7 5 2
9 5 1
10 5 5
9 14 5
9 13 3
7 14 3
6 8 1
3 13 1
0 11 1
0 12 2
9 14 5
3 12 5
6 13 1
8 12 2
2 11 4
0 5 3
5 15 5
3 11 1
2 14 5
4 5 1
10 10 2
8 12 3
0 6 4
10 11 1
5 12 3
6 9 3
5 15 4
3 13 3
5 13 2
8 8 2
9 12 2
