8 2 4

0 13 2
7 6 1
0 8 4
8 6 3
10 9 2
0 15 2
0 12 4
7 9 1
5 6 2
2 15 2
7 11 1
0 15 4
5 5 1
1 8 1
3 11 2
4 6 1
1 6 3
9 11 2
1 7 4
5 13 1
9 15 2
0 15 5
5 9 3
1 15 5
0 12 2
1 14 2
1 6 1
1 5 5
10 15 4
4 12 4
2 8 4
0 13 3
4 11 1
4 9 4
5 7 3
6 14 4
9 10 2
9 9 4
0 14 4
4 5 1
5 9 4
6 5 2
10 7 4
4 6 3
2 11 2
4 9 2
10 8 1
9 12 3
0 13 5
9 12 5
10 15 4
1 10 5
0 11 3
0 13 4
8 7 1
4 9 5
4 10 5
1 6 5
9 12 1
9 7 2
3 6 5
1 8 5
2 5 4
7 9 5
10 10 4
1 12 4
2 8 1
6 9 5
2 8 4
4 15 4
4 11 2
5 14 3
7 8 4
0 15 3
0 9 2
3 11 1
4 9 2
10 15 2
2 9 2
4 11 4
4 11 4
6 5 3
10 5 4
2 5 2
6 14 3
1 7 3
1 10 4
8 8 2
7 8 4
3 9 2
7 7 3
7 10 3
3 14 1
7 10 5
8 10 5
3 7 3
1 5 1
