8 1 1

0 12 3
10 10 4
1 9 5
10 12 3
2 6 5
10 12 1
5 7 5
4 10 2
4 10 1
10 15 2
10 7 4
2 14 5
2 7 2
8 10 1
6 13 3
8 13 1
5 9 1
1 8 3
7 10 3
8 11 4
4 8 4
1 9 5
2 6 3
0 12 1
2 12 3
4 13 1
4 12 4
9 5 2
2 15 4
4 12 2
1 9 1
10 5 3
1 13 3
5 12 5
10 11 1
1 6 1
7 15 2
2 8 1
8 6 2
8 14 5
1 11 2
1 12 5
10 6 3
8 11 4
0 14 2
10 8 4
0 12 2
3 10 1
1 7 1
2 10 1
1 13 2
8 13 3
4 5 4
7 15 4
1 10 5
6 14 3
1 8 1
5 10 3
2 6 1
7 5 4
5 14 5
10 14 3
2 11 1
3 12 1
9 13 2
5 15 4
9 6 3
0 14 2
7 13 3
5 15 5
8 5 5
7 15 1
10 7 4
6 14 4
10 9 1
10 7 2
5 14 1
5 14 3
5 10 2
8 10 3
7 6 5
5 15 3
