7 2 3

0 6 1
10 7 4
5 7 2
5 8 3
1 5 1
8 14 5
3 6 5
1 10 4
6 14 1
3 8 3
0 13 2
3 7 2
8 5 1
10 8 5
1 14 2
4 11 2
2 15 4
9 9 4
6 6 2
9 5 2
7 5 4
10 6 5
10 11 3
8 15 1
5 13 3
7 11 5
6 11 2
6 13 5
2 6 1
10 5 4
8 7 3
1 6 5
0 10 2
4 12 4
0 15 5
0 12 1
3 12 3
5 15 5
8 10 3
8 5 4
1 15 4
7 10 5
5 6 1
2 9 3
4 14 4
7 15 5
2 9 5
0 14 5
3 6 5
0 13 1
10 15 2
7 15 5
1 15 3
4 12 4
7 8 3
10 10 2
6 14 2
5 12 3
5 10 3
3 13 5
9 10 1
6 11 5
1 13 4
0 9 3
8 14 2
7 11 5
3 11 4
6 7 3
